order_id,date,status,qty,amount,currency,ship_country
ORD-001,04-15-24,Shipped,2,1500.00,INR,IN
ORD-002,04-16-24,Delivered,1,799.50,INR,IN
ORD-003,04-17-24,Cancelled,0,0.00,INR,IN
ORD-004,04-18-24,Shipped,3,2200.00,INR,IN
ORD-005,04-19-24,Pending,1,450.00,INR,IN
ORD-006,04-20-24,Delivered,2,980.00,INR,IN
ORD-007,04-21-24,Shipped,1,1100.00,INR,IN
ORD-008,04-22-24,Returned,4,3200.00,INR,IN
ORD-009,04-23-24,Delivered,2,600.00,INR,IN
ORD-010,04-24-24,Shipped,1,850.00,INR,IN
,04-25-24,Shipped,1,500.00,INR,IN
ORD-012,04-26-24,Shipped,-1,300.00,INR,IN
ORD-013,04-27-24,INVALID_STATUS,2,700.00,INR,IN
ORD-014,04-28-24,Delivered,1,-50.00,INR,IN
ORD-002,04-29-24,Shipped,2,1200.00,INR,IN
ORD-016,04-30-24,Delivered,3,2100.00,USD,US
ORD-017,05-01-24,Shipped,1,900.00,INR,IN
ORD-018,05-02-24,Pending,2,1400.00,INR,IN
ORD-019,05-03-24,Cancelled,0,0.00,INR,IN
ORD-020,05-04-24,Delivered,1,670.00,INR,IN
